,ID,Name,Image URL,Description,Height,Weight,Categoty,Abilities,Type,Weaknesses,Stats
299,300,Skitty,https://assets.pokemon.com/assets/cms2/img/pokedex/full/300.png,Skitty has the habit of becoming fascinated by moving objects and chasing them around. This Pokémon is known to chase after its own tail and become dizzy.,"2' 00""",24.3 lbs,Kitten,"['Cute Charm', 'Normalize']",['Normal'],['Fighting'],"{'HP': 3, 'Attack': 3, 'Defense': 3, 'Special Attack': 3, 'Special Defense': 3, 'Speed': 3}"
300,301,Delcatty,https://assets.pokemon.com/assets/cms2/img/pokedex/full/301.png,"Delcatty prefers to live an unfettered existence in which it can do as it pleases at its own pace. Because this Pokémon eats and sleeps whenever it decides, its daily routines are completely random.","3' 07""",71.9 lbs,Prim,"['Cute Charm', 'Normalize']",['Normal'],['Fighting'],"{'HP': 5, 'Attack': 4, 'Defense': 4, 'Special Attack': 4, 'Special Defense': 4, 'Speed': 6}"
301,302,Sableye,https://assets.pokemon.com/assets/cms2/img/pokedex/full/302.png,It dwells in the darkness of caves. It uses its sharp claws to dig up gems to nourish itself.,"1' 08""",24.3 lbs,Darkness,"['Keen Eye', 'Stall']","['Dark', 'Ghost']",['Fairy'],"{'HP': 3, 'Attack': 5, 'Defense': 5, 'Special Attack': 4, 'Special Defense': 4, 'Speed': 3}"
302,303,Mawile,https://assets.pokemon.com/assets/cms2/img/pokedex/full/303.png,"It uses its docile-looking face to lull foes into complacency, then bites with its huge, relentless jaws.","2' 00""",25.4 lbs,Deceiver,"['Intimidate', 'Hyper Cutter']","['Steel', 'Fairy']","['Fire', 'Ground']","{'HP': 3, 'Attack': 5, 'Defense': 5, 'Special Attack': 4, 'Special Defense': 4, 'Speed': 3}"
303,304,Aron,https://assets.pokemon.com/assets/cms2/img/pokedex/full/304.png,It eats iron ore—and sometimes railroad tracks— to build up the steel armor that protects its body.,"1' 04""",132.3 lbs,Iron Armor,"['Rock Head', 'Sturdy']","['Steel', 'Rock']","['Water', 'Fighting', 'Ground']","{'HP': 3, 'Attack': 5, 'Defense': 6, 'Special Attack': 3, 'Special Defense': 3, 'Speed': 2}"
304,305,Lairon,https://assets.pokemon.com/assets/cms2/img/pokedex/full/305.png,"Lairon live in mountains brimming with spring water and iron ore, so these Pokémon often came into conflict with humans in the past.","2' 11""",264.6 lbs,Iron Armor,"['Rock Head', 'Sturdy']","['Steel', 'Rock']","['Water', 'Fighting', 'Ground']","{'HP': 4, 'Attack': 6, 'Defense': 9, 'Special Attack': 3, 'Special Defense': 3, 'Speed': 3}"
305,306,Aggron,https://assets.pokemon.com/assets/cms2/img/pokedex/full/306.png,Aggron has a horn sharp enough to perforate thick iron sheets. It brings down its opponents by ramming into them horn first.,"6' 11""",793.7 lbs,Iron Armor,"['Rock Head', 'Sturdy']","['Steel', 'Rock']","['Water', 'Fighting', 'Ground']","{'HP': 5, 'Attack': 7, 'Defense': 11, 'Special Attack': 4, 'Special Defense': 4, 'Speed': 3}"
306,307,Meditite,https://assets.pokemon.com/assets/cms2/img/pokedex/full/307.png,It never skips its daily yoga training. It heightens its inner strength through meditation.,"2' 00""",24.7 lbs,Meditate,['Pure Power'],"['Fighting', 'Psychic']","['Ghost', 'Fairy', 'Flying']","{'HP': 2, 'Attack': 3, 'Defense': 4, 'Special Attack': 3, 'Special Defense': 4, 'Speed': 4}"
307,308,Medicham,https://assets.pokemon.com/assets/cms2/img/pokedex/full/308.png,"Through yoga training, it gained the psychic power to predict its foe’s next move.","4' 03""",69.4 lbs,Meditate,['Pure Power'],"['Fighting', 'Psychic']","['Ghost', 'Fairy', 'Flying']","{'HP': 4, 'Attack': 4, 'Defense': 5, 'Special Attack': 4, 'Special Defense': 5, 'Speed': 5}"
308,309,Electrike,https://assets.pokemon.com/assets/cms2/img/pokedex/full/309.png,It stores static electricity in its fur for discharging. It gives off sparks if a storm approaches.,"2' 00""",33.5 lbs,Lightning,"['Static', 'Lightning Rod']",['Electric'],['Ground'],"{'HP': 3, 'Attack': 3, 'Defense': 3, 'Special Attack': 4, 'Special Defense': 3, 'Speed': 4}"
309,310,Manectric,https://assets.pokemon.com/assets/cms2/img/pokedex/full/310.png,"It stimulates its own muscles with electricity, so it can move quickly. It eases its soreness with electricity, too, so it can recover quickly as well.","4' 11""",88.6 lbs,Discharge,"['Static', 'Lightning Rod']",['Electric'],['Ground'],"{'HP': 5, 'Attack': 5, 'Defense': 4, 'Special Attack': 7, 'Special Defense': 4, 'Speed': 7}"
310,311,Plusle,https://assets.pokemon.com/assets/cms2/img/pokedex/full/311.png,"Plusle always acts as a cheerleader for its partners. Whenever a teammate puts out a good effort in battle, this Pokémon shorts out its body to create the crackling noises of sparks to show its joy.","1' 04""",9.3 lbs,Cheering,['Plus'],['Electric'],['Ground'],"{'HP': 4, 'Attack': 3, 'Defense': 3, 'Special Attack': 5, 'Special Defense': 5, 'Speed': 6}"
311,312,Minun,https://assets.pokemon.com/assets/cms2/img/pokedex/full/312.png,Minun is more concerned about cheering on its partners than its own safety. It shorts out the electricity in its body to create brilliant showers of sparks to cheer on its teammates.,"1' 04""",9.3 lbs,Cheering,['Minus'],['Electric'],['Ground'],"{'HP': 4, 'Attack': 3, 'Defense': 3, 'Special Attack': 5, 'Special Defense': 5, 'Speed': 6}"
312,313,Volbeat,https://assets.pokemon.com/assets/cms2/img/pokedex/full/313.png,"With the arrival of night, Volbeat emits light from its tail. It communicates with others by adjusting the intensity and flashing of its light. This Pokémon is attracted by the sweet aroma of Illumise.","2' 04""",39.0 lbs,Firefly,"['Swarm', 'Illuminate']",['Bug'],"['Fire', 'Flying', 'Rock']","{'HP': 4, 'Attack': 5, 'Defense': 5, 'Special Attack': 3, 'Special Defense': 5, 'Speed': 5}"
313,314,Illumise,https://assets.pokemon.com/assets/cms2/img/pokedex/full/314.png,"Illumise attracts a swarm of Volbeat using a sweet fragrance. Once the Volbeat have gathered, this Pokémon leads the lit-up swarm in drawing geometric designs on the canvas of the night sky.","2' 00""",39.0 lbs,Firefly,"['Tinted Lens', 'Oblivious']",['Bug'],"['Fire', 'Flying', 'Rock']","{'HP': 4, 'Attack': 3, 'Defense': 5, 'Special Attack': 5, 'Special Defense': 5, 'Speed': 5}"
314,315,Roselia,https://assets.pokemon.com/assets/cms2/img/pokedex/full/315.png,"Its flowers give off a relaxing fragrance. The stronger its aroma, the healthier the Roselia is.","1' 00""",4.4 lbs,Thorn,"['Poison Point', 'Natural Cure']","['Grass', 'Poison']","['Fire', 'Psychic', 'Flying', 'Ice']","{'HP': 3, 'Attack': 4, 'Defense': 3, 'Special Attack': 6, 'Special Defense': 5, 'Speed': 4}"
315,316,Gulpin,https://assets.pokemon.com/assets/cms2/img/pokedex/full/316.png,"There is nothing its stomach can’t digest. While it is digesting, vile, overpowering gases are expelled.","1' 04""",22.7 lbs,Stomach,"['Liquid Ooze', 'Sticky Hold']",['Poison'],"['Psychic', 'Ground']","{'HP': 5, 'Attack': 3, 'Defense': 4, 'Special Attack': 3, 'Special Defense': 4, 'Speed': 3}"
316,317,Swalot,https://assets.pokemon.com/assets/cms2/img/pokedex/full/317.png,It gulps anything that fits in its mouth. Its special enzymes can dissolve anything.,"5' 07""",176.4 lbs,Poison Bag,"['Liquid Ooze', 'Sticky Hold']",['Poison'],"['Psychic', 'Ground']","{'HP': 6, 'Attack': 5, 'Defense': 5, 'Special Attack': 5, 'Special Defense': 5, 'Speed': 4}"
317,318,Carvanha,https://assets.pokemon.com/assets/cms2/img/pokedex/full/318.png,"It won’t attack while it’s alone—not even if it spots prey. Instead, it waits for other Carvanha to join it, and then the Pokémon attack as a group.","2' 07""",45.9 lbs,Savage,['Rough Skin'],"['Water', 'Dark']","['Fairy', 'Grass', 'Electric', 'Fighting', 'Bug']","{'HP': 3, 'Attack': 6, 'Defense': 2, 'Special Attack': 4, 'Special Defense': 2, 'Speed': 4}"
318,319,Sharpedo,https://assets.pokemon.com/assets/cms2/img/pokedex/full/319.png,"As soon as it catches the scent of prey, Sharpedo will jet seawater from its backside, hurtling toward the target to attack at 75 mph.","5' 11""",195.8 lbs,Brutal,['Rough Skin'],"['Water', 'Dark']","['Fairy', 'Grass', 'Electric', 'Fighting', 'Bug']","{'HP': 5, 'Attack': 8, 'Defense': 3, 'Special Attack': 6, 'Special Defense': 3, 'Speed': 6}"
319,320,Wailmer,https://assets.pokemon.com/assets/cms2/img/pokedex/full/320.png,It shows off by spraying jets of seawater from the nostrils above its eyes. It eats a solid ton of Wishiwashi every day.,"6' 07""",286.6 lbs,Ball Whale,"['Oblivious', 'Water Veil']",['Water'],"['Grass', 'Electric']","{'HP': 8, 'Attack': 5, 'Defense': 3, 'Special Attack': 5, 'Special Defense': 3, 'Speed': 4}"
320,321,Wailord,https://assets.pokemon.com/assets/cms2/img/pokedex/full/321.png,It can sometimes knock out opponents with the shock created by breaching and crashing its big body onto the water.,"47' 07""",877.4 lbs,Float Whale,"['Oblivious', 'Water Veil']",['Water'],"['Grass', 'Electric']","{'HP': 10, 'Attack': 6, 'Defense': 3, 'Special Attack': 6, 'Special Defense': 3, 'Speed': 4}"
321,322,Numel,https://assets.pokemon.com/assets/cms2/img/pokedex/full/322.png,"Magma of almost 2,200 degrees Fahrenheit courses through its body. When it grows cold, the magma hardens and slows it.","2' 04""",52.9 lbs,Numb,"['Oblivious', 'Simple']","['Fire', 'Ground']","['Water', 'Ground']","{'HP': 4, 'Attack': 4, 'Defense': 3, 'Special Attack': 4, 'Special Defense': 3, 'Speed': 3}"
322,323,Camerupt,https://assets.pokemon.com/assets/cms2/img/pokedex/full/323.png,It lives in the crater of a volcano. It is well known that the humps on its back erupt every 10 years.,"6' 03""",485.0 lbs,Eruption,"['Magma Armor', 'Solid Rock']","['Fire', 'Ground']","['Water', 'Ground']","{'HP': 5, 'Attack': 6, 'Defense': 5, 'Special Attack': 7, 'Special Defense': 5, 'Speed': 3}"
323,324,Torkoal,https://assets.pokemon.com/assets/cms2/img/pokedex/full/324.png,It burns coal inside its shell for energy. It blows out black soot if it is endangered.,"1' 08""",177.3 lbs,Coal,"['White Smoke', 'Drought']",['Fire'],"['Water', 'Ground', 'Rock']","{'HP': 5, 'Attack': 5, 'Defense': 9, 'Special Attack': 5, 'Special Defense': 5, 'Speed': 2}"
324,325,Spoink,https://assets.pokemon.com/assets/cms2/img/pokedex/full/325.png,Spoink will die if it stops bouncing. The pearl on its head amplifies its psychic powers.,"2' 04""",67.5 lbs,Bounce,"['Own Tempo', 'Thick Fat']",['Psychic'],"['Ghost', 'Dark', 'Bug']","{'HP': 4, 'Attack': 2, 'Defense': 3, 'Special Attack': 5, 'Special Defense': 5, 'Speed': 4}"
325,326,Grumpig,https://assets.pokemon.com/assets/cms2/img/pokedex/full/326.png,It can perform odd dance steps to influence foes. Its style of dancing became hugely popular overseas.,"2' 11""",157.6 lbs,Manipulate,"['Own Tempo', 'Thick Fat']",['Psychic'],"['Ghost', 'Dark', 'Bug']","{'HP': 5, 'Attack': 3, 'Defense': 4, 'Special Attack': 6, 'Special Defense': 7, 'Speed': 5}"
326,327,Spinda,https://assets.pokemon.com/assets/cms2/img/pokedex/full/327.png,Its steps are shaky and stumbling. Walking for a long time makes it feel sick.,"3' 07""",11.0 lbs,Spot Panda,"['Tangled Feet', 'Own Tempo']",['Normal'],['Fighting'],"{'HP': 4, 'Attack': 4, 'Defense': 4, 'Special Attack': 4, 'Special Defense': 4, 'Speed': 4}"
327,328,Trapinch,https://assets.pokemon.com/assets/cms2/img/pokedex/full/328.png,"Its nest is a sloped, bowl-like pit in the desert. Once something has fallen in, there is no escape.","2' 04""",33.1 lbs,Ant Pit,"['Arena Trap', 'Hyper Cutter']",['Ground'],"['Water', 'Grass', 'Ice']","{'HP': 3, 'Attack': 6, 'Defense': 3, 'Special Attack': 3, 'Special Defense': 3, 'Speed': 1}"
328,329,Vibrava,https://assets.pokemon.com/assets/cms2/img/pokedex/full/329.png,The ultrasonic waves it generates by rubbing its two wings together cause severe headaches.,"3' 07""",33.7 lbs,Vibration,['Levitate'],"['Ground', 'Dragon']","['Fairy', 'Ice', 'Dragon']","{'HP': 3, 'Attack': 5, 'Defense': 3, 'Special Attack': 3, 'Special Defense': 3, 'Speed': 5}"
329,330,Flygon,https://assets.pokemon.com/assets/cms2/img/pokedex/full/330.png,This Pokémon hides in the heart of sandstorms it creates and seldom appears where people can see it.,"6' 07""",180.8 lbs,Mystic,['Levitate'],"['Ground', 'Dragon']","['Fairy', 'Ice', 'Dragon']","{'HP': 5, 'Attack': 6, 'Defense': 5, 'Special Attack': 5, 'Special Defense': 5, 'Speed': 6}"
330,331,Cacnea,https://assets.pokemon.com/assets/cms2/img/pokedex/full/331.png,"It prefers harsh environments, such as deserts. It can survive for 30 days on water stored in its body.","1' 04""",113.1 lbs,Cactus,['Sand Veil'],['Grass'],"['Fire', 'Flying', 'Ice', 'Poison', 'Bug']","{'HP': 3, 'Attack': 5, 'Defense': 3, 'Special Attack': 5, 'Special Defense': 3, 'Speed': 3}"
331,332,Cacturne,https://assets.pokemon.com/assets/cms2/img/pokedex/full/332.png,Packs of them follow travelers through the desert until the travelers can no longer move.,"4' 03""",170.6 lbs,Scarecrow,['Sand Veil'],"['Grass', 'Dark']","['Ice', 'Fire', 'Flying', 'Poison', 'Fighting', 'Fairy', 'Bug']","{'HP': 5, 'Attack': 7, 'Defense': 4, 'Special Attack': 7, 'Special Defense': 4, 'Speed': 4}"
332,333,Swablu,https://assets.pokemon.com/assets/cms2/img/pokedex/full/333.png,It constantly grooms its cotton-like wings. It takes a shower to clean itself if it becomes dirty.,"1' 04""",2.6 lbs,Cotton Bird,['Natural Cure'],"['Normal', 'Flying']","['Electric', 'Ice', 'Rock']","{'HP': 3, 'Attack': 3, 'Defense': 4, 'Special Attack': 3, 'Special Defense': 5, 'Speed': 3}"
333,334,Altaria,https://assets.pokemon.com/assets/cms2/img/pokedex/full/334.png,"If it bonds with a person, it will gently envelop the friend with its soft wings, then hum.","3' 07""",45.4 lbs,Humming,['Natural Cure'],"['Dragon', 'Flying']","['Fairy', 'Dragon', 'Ice', 'Rock']","{'HP': 5, 'Attack': 5, 'Defense': 6, 'Special Attack': 5, 'Special Defense': 7, 'Speed': 5}"
334,335,Zangoose,https://assets.pokemon.com/assets/cms2/img/pokedex/full/335.png,"It’s Seviper’s archrival. To threaten those it encounters, it fans out the claws on its front paws.","4' 03""",88.8 lbs,Cat Ferret,['Immunity'],['Normal'],['Fighting'],"{'HP': 5, 'Attack': 7, 'Defense': 4, 'Special Attack': 4, 'Special Defense': 4, 'Speed': 6}"
335,336,Seviper,https://assets.pokemon.com/assets/cms2/img/pokedex/full/336.png,It sharpens its swordlike tail on hard rocks. It hides in tall grass and strikes unwary prey with venomous fangs.,"8' 10""",115.7 lbs,Fang Snake,['Shed Skin'],['Poison'],"['Psychic', 'Ground']","{'HP': 5, 'Attack': 6, 'Defense': 4, 'Special Attack': 6, 'Special Defense': 4, 'Speed': 4}"
336,337,Lunatone,https://assets.pokemon.com/assets/cms2/img/pokedex/full/337.png,The phase of the moon apparently has some effect on its power. It’s active on the night of a full moon.,"3' 03""",370.4 lbs,Meteorite,['Levitate'],"['Rock', 'Psychic']","['Steel', 'Ghost', 'Water', 'Dark', 'Grass', 'Bug', 'Ground']","{'HP': 6, 'Attack': 4, 'Defense': 4, 'Special Attack': 6, 'Special Defense': 5, 'Speed': 5}"
337,338,Solrock,https://assets.pokemon.com/assets/cms2/img/pokedex/full/338.png,"When it rotates itself, it gives off light similar to the sun, thus blinding its foes.","3' 11""",339.5 lbs,Meteorite,['Levitate'],"['Rock', 'Psychic']","['Steel', 'Ghost', 'Water', 'Dark', 'Grass', 'Bug', 'Ground']","{'HP': 6, 'Attack': 6, 'Defense': 5, 'Special Attack': 4, 'Special Defense': 4, 'Speed': 5}"
338,339,Barboach,https://assets.pokemon.com/assets/cms2/img/pokedex/full/339.png,"Its two whiskers provide a sensitive radar. Even in muddy waters, it can detect its prey’s location.","1' 04""",4.2 lbs,Whiskers,"['Oblivious', 'Anticipation']","['Water', 'Ground']",['Grass'],"{'HP': 3, 'Attack': 3, 'Defense': 3, 'Special Attack': 3, 'Special Defense': 3, 'Speed': 4}"
339,340,Whiscash,https://assets.pokemon.com/assets/cms2/img/pokedex/full/340.png,"It is extremely protective of its territory. If any foe approaches, it attacks using vicious tremors.","2' 11""",52.0 lbs,Whiskers,"['Oblivious', 'Anticipation']","['Water', 'Ground']",['Grass'],"{'HP': 7, 'Attack': 5, 'Defense': 5, 'Special Attack': 5, 'Special Defense': 5, 'Speed': 4}"
340,341,Corphish,https://assets.pokemon.com/assets/cms2/img/pokedex/full/341.png,"No matter how dirty the water in the river, it will adapt and thrive. It has a strong will to survive.","2' 00""",25.4 lbs,Ruffian,"['Shell Armor', 'Hyper Cutter']",['Water'],"['Grass', 'Electric']","{'HP': 3, 'Attack': 5, 'Defense': 4, 'Special Attack': 3, 'Special Defense': 3, 'Speed': 3}"
341,342,Crawdaunt,https://assets.pokemon.com/assets/cms2/img/pokedex/full/342.png,A rough customer that wildly flails its giant claws. It is said to be extremely hard to raise.,"3' 07""",72.3 lbs,Rogue,"['Shell Armor', 'Hyper Cutter']","['Water', 'Dark']","['Fairy', 'Grass', 'Electric', 'Fighting', 'Bug']","{'HP': 4, 'Attack': 8, 'Defense': 5, 'Special Attack': 6, 'Special Defense': 4, 'Speed': 4}"
342,343,Baltoy,https://assets.pokemon.com/assets/cms2/img/pokedex/full/343.png,It moves while spinning around on its single foot. Some Baltoy have been seen spinning on their heads.,"1' 08""",47.4 lbs,Clay Doll,['Levitate'],"['Ground', 'Psychic']","['Ghost', 'Water', 'Ice', 'Dark', 'Grass', 'Bug']","{'HP': 3, 'Attack': 3, 'Defense': 4, 'Special Attack': 3, 'Special Defense': 5, 'Speed': 4}"
343,344,Claydol,https://assets.pokemon.com/assets/cms2/img/pokedex/full/344.png,"This mysterious Pokémon started life as an ancient clay figurine made over 20,000 years ago.","4' 11""",238.1 lbs,Clay Doll,['Levitate'],"['Ground', 'Psychic']","['Ghost', 'Water', 'Ice', 'Dark', 'Grass', 'Bug']","{'HP': 4, 'Attack': 5, 'Defense': 7, 'Special Attack': 5, 'Special Defense': 8, 'Speed': 5}"
344,345,Lileep,https://assets.pokemon.com/assets/cms2/img/pokedex/full/345.png,"This Pokémon was restored from a fossil. Lileep once lived in warm seas that existed approximately 100,000,000 years ago.","3' 03""",52.5 lbs,Sea Lily,['Suction Cups'],"['Rock', 'Grass']","['Steel', 'Ice', 'Fighting', 'Bug']","{'HP': 4, 'Attack': 3, 'Defense': 5, 'Special Attack': 4, 'Special Defense': 6, 'Speed': 2}"
345,346,Cradily,https://assets.pokemon.com/assets/cms2/img/pokedex/full/346.png,"It has short legs and can’t walk very fast, but its neck and tentacles can extend to over three times their usual length to nab distant prey.","4' 11""",133.2 lbs,Barnacle,['Suction Cups'],"['Rock', 'Grass']","['Steel', 'Ice', 'Fighting', 'Bug']","{'HP': 6, 'Attack': 5, 'Defense': 6, 'Special Attack': 5, 'Special Defense': 7, 'Speed': 3}"
346,347,Anorith,https://assets.pokemon.com/assets/cms2/img/pokedex/full/347.png,"This Pokémon was restored from a fossil. Anorith lived in the ocean about 100,000,000 years ago, hunting with its pair of claws.","2' 04""",27.6 lbs,Old Shrimp,['Battle Armor'],"['Rock', 'Bug']","['Steel', 'Water', 'Rock']","{'HP': 3, 'Attack': 6, 'Defense': 3, 'Special Attack': 3, 'Special Defense': 3, 'Speed': 5}"
347,348,Armaldo,https://assets.pokemon.com/assets/cms2/img/pokedex/full/348.png,"After evolution, this Pokémon emerged onto land. Its lower body has become stronger, and blows from its tail are devastating.","4' 11""",150.4 lbs,Plate,['Battle Armor'],"['Rock', 'Bug']","['Steel', 'Water', 'Rock']","{'HP': 5, 'Attack': 8, 'Defense': 6, 'Special Attack': 5, 'Special Defense': 5, 'Speed': 3}"
348,349,Feebas,https://assets.pokemon.com/assets/cms2/img/pokedex/full/349.png,"Although unattractive and unpopular, this Pokémon’s marvelous vitality has made it a subject of research.","2' 00""",16.3 lbs,Fish,"['Oblivious', 'Swift Swim']",['Water'],"['Grass', 'Electric']","{'HP': 2, 'Attack': 1, 'Defense': 2, 'Special Attack': 1, 'Special Defense': 4, 'Speed': 5}"
349,350,Milotic,https://assets.pokemon.com/assets/cms2/img/pokedex/full/350.png,Milotic has provided inspiration to many artists. It has even been referred to as the most beautiful Pokémon of all.,"20' 04""",357.1 lbs,Tender,"['Marvel Scale', 'Competitive']",['Water'],"['Grass', 'Electric']","{'HP': 6, 'Attack': 4, 'Defense': 5, 'Special Attack': 6, 'Special Defense': 8, 'Speed': 5}"
350,351,Castform,https://assets.pokemon.com/assets/cms2/img/pokedex/full/351.png,"Although its form changes with the weather, that is apparently the result of a chemical reaction and not the result of its own free will.","1' 00""",1.8 lbs,Weather,['Forecast'],['Normal'],['Fighting'],"{'HP': 5, 'Attack': 5, 'Defense': 5, 'Special Attack': 5, 'Special Defense': 5, 'Speed': 5}"
351,352,Kecleon,https://assets.pokemon.com/assets/cms2/img/pokedex/full/352.png,"It changes its hue to blend into its surroundings. If no one takes notice of it for too long, it will pout and never reveal itself.","3' 03""",48.5 lbs,Color Swap,['Color Change'],['Normal'],['Fighting'],"{'HP': 4, 'Attack': 6, 'Defense': 5, 'Special Attack': 4, 'Special Defense': 8, 'Speed': 3}"
352,353,Shuppet,https://assets.pokemon.com/assets/cms2/img/pokedex/full/353.png,It loves to feed on feelings like envy and malice. Its upright horn catches the emotions of people.,"2' 00""",5.1 lbs,Puppet,"['Insomnia', 'Frisk']",['Ghost'],"['Ghost', 'Dark']","{'HP': 3, 'Attack': 5, 'Defense': 3, 'Special Attack': 4, 'Special Defense': 2, 'Speed': 3}"
353,354,Banette,https://assets.pokemon.com/assets/cms2/img/pokedex/full/354.png,This Pokémon developed from an abandoned doll that amassed a grudge. It is seen in dark alleys.,"3' 07""",27.6 lbs,Marionette,"['Insomnia', 'Frisk']",['Ghost'],"['Ghost', 'Dark']","{'HP': 4, 'Attack': 7, 'Defense': 4, 'Special Attack': 5, 'Special Defense': 4, 'Speed': 4}"
354,355,Duskull,https://assets.pokemon.com/assets/cms2/img/pokedex/full/355.png,"If it finds bad children who won’t listen to their parents, it will spirit them away—or so it’s said.","2' 07""",33.1 lbs,Requiem,['Levitate'],['Ghost'],"['Ghost', 'Dark']","{'HP': 2, 'Attack': 3, 'Defense': 6, 'Special Attack': 2, 'Special Defense': 6, 'Speed': 2}"
355,356,Dusclops,https://assets.pokemon.com/assets/cms2/img/pokedex/full/356.png,"Its body is entirely hollow. When it opens its mouth, it sucks everything in as if it were a black hole.","5' 03""",67.5 lbs,Beckon,['Pressure'],['Ghost'],"['Ghost', 'Dark']","{'HP': 3, 'Attack': 5, 'Defense': 8, 'Special Attack': 4, 'Special Defense': 8, 'Speed': 2}"
356,357,Tropius,https://assets.pokemon.com/assets/cms2/img/pokedex/full/357.png,It lives in tropical jungles. The bunch of fruit around its neck is delicious. The fruit grows twice a year.,"6' 07""",220.5 lbs,Fruit,"['Chlorophyll', 'Solar Power']","['Grass', 'Flying']","['Fire', 'Flying', 'Ice', 'Poison', 'Rock']","{'HP': 6, 'Attack': 4, 'Defense': 5, 'Special Attack': 5, 'Special Defense': 6, 'Speed': 3}"
357,358,Chimecho,https://assets.pokemon.com/assets/cms2/img/pokedex/full/358.png,"Chimecho makes its cries echo inside its hollow body. When this Pokémon becomes enraged, its cries result in ultrasonic waves that have the power to knock foes flying.","2' 00""",2.2 lbs,Wind Chime,['Levitate'],['Psychic'],"['Ghost', 'Dark', 'Bug']","{'HP': 5, 'Attack': 3, 'Defense': 5, 'Special Attack': 6, 'Special Defense': 6, 'Speed': 4}"
358,359,Absol,https://assets.pokemon.com/assets/cms2/img/pokedex/full/359.png,"Swift as the wind, Absol races through fields and mountains. Its curved, bow-like horn is acutely sensitive to the warning signs of natural disasters.","3' 11""",103.6 lbs,Disaster,"['Pressure', 'Super Luck']",['Dark'],"['Fairy', 'Bug', 'Fighting']","{'HP': 4, 'Attack': 8, 'Defense': 4, 'Special Attack': 5, 'Special Defense': 4, 'Speed': 5}"
359,360,Wynaut,https://assets.pokemon.com/assets/cms2/img/pokedex/full/360.png,It tends to move in a pack. Individuals squash against one another to toughen their spirits.,"2' 00""",30.9 lbs,Bright,['Shadow Tag'],['Psychic'],"['Ghost', 'Dark', 'Bug']","{'HP': 6, 'Attack': 2, 'Defense': 3, 'Special Attack': 2, 'Special Defense': 3, 'Speed': 2}"
360,361,Snorunt,https://assets.pokemon.com/assets/cms2/img/pokedex/full/361.png,It is said that several Snorunt gather under giant leaves and live together in harmony.,"2' 04""",37.0 lbs,Snow Hat,"['Inner Focus', 'Ice Body']",['Ice'],"['Fire', 'Steel', 'Fighting', 'Rock']","{'HP': 3, 'Attack': 3, 'Defense': 3, 'Special Attack': 3, 'Special Defense': 3, 'Speed': 3}"
361,362,Glalie,https://assets.pokemon.com/assets/cms2/img/pokedex/full/362.png,"Its prey is instantaneously frozen stiff by the cold air it exhales from its huge mouth. While they’re in that frozen state, it gobbles them up.","4' 11""",565.5 lbs,Face,"['Inner Focus', 'Ice Body']",['Ice'],"['Fire', 'Steel', 'Fighting', 'Rock']","{'HP': 5, 'Attack': 5, 'Defense': 5, 'Special Attack': 5, 'Special Defense': 5, 'Speed': 5}"
362,363,Spheal,https://assets.pokemon.com/assets/cms2/img/pokedex/full/363.png,This Pokémon’s body is covered in blubber and impressively round. It’s faster for Spheal to roll around than walk.,"2' 07""",87.1 lbs,Clap,"['Thick Fat', 'Ice Body']","['Ice', 'Water']","['Grass', 'Electric', 'Fighting', 'Rock']","{'HP': 5, 'Attack': 3, 'Defense': 3, 'Special Attack': 4, 'Special Defense': 3, 'Speed': 2}"
363,364,Sealeo,https://assets.pokemon.com/assets/cms2/img/pokedex/full/364.png,"Sealeo live on top of drift ice. They go swimming when they’re on the hunt, seeking out their prey by scent.","3' 07""",193.1 lbs,Ball Roll,"['Thick Fat', 'Ice Body']","['Ice', 'Water']","['Grass', 'Electric', 'Fighting', 'Rock']","{'HP': 6, 'Attack': 4, 'Defense': 5, 'Special Attack': 5, 'Special Defense': 5, 'Speed': 3}"
364,365,Walrein,https://assets.pokemon.com/assets/cms2/img/pokedex/full/365.png,"Walrein form herds of 20 to 30 individuals. When a threat appears, the herd’s leader will protect the group with its life.","4' 07""",332.0 lbs,Ice Break,"['Thick Fat', 'Ice Body']","['Ice', 'Water']","['Grass', 'Electric', 'Fighting', 'Rock']","{'HP': 7, 'Attack': 5, 'Defense': 6, 'Special Attack': 6, 'Special Defense': 6, 'Speed': 4}"
365,366,Clamperl,https://assets.pokemon.com/assets/cms2/img/pokedex/full/366.png,"Despite its appearance, it’s carnivorous. It clamps down on its prey with both sides of its shell and doesn’t let go until they stop moving.","1' 04""",115.7 lbs,Bivalve,['Shell Armor'],['Water'],"['Grass', 'Electric']","{'HP': 3, 'Attack': 4, 'Defense': 5, 'Special Attack': 5, 'Special Defense': 4, 'Speed': 2}"
366,367,Huntail,https://assets.pokemon.com/assets/cms2/img/pokedex/full/367.png,It’s not the strongest swimmer. It wags its tail to lure in its prey and then gulps them down as soon as they get close.,"5' 07""",59.5 lbs,Deep Sea,['Swift Swim'],['Water'],"['Grass', 'Electric']","{'HP': 4, 'Attack': 7, 'Defense': 7, 'Special Attack': 6, 'Special Defense': 5, 'Speed': 4}"
